name	male_count	female_count	overall_count	male_ratio	female_ratio	max_ratio	predominant_gender
allix	0.0	37.0	37.0	0.0	1.0	1.0	Female
alliya	0.0	139.0	139.0	0.0	1.0	1.0	Female
alliyah	0.0	228.0	228.0	0.0	1.0	1.0	Female
allon	27.0	0.0	27.0	1.0	0.0	1.0	Male
allonzo	29.0	0.0	29.0	1.0	0.0	1.0	Male
ally	43.0	247.0	290.0	0.1482758620689655	0.8517241379310345	0.8517241379310345	Female
allya	0.0	602.0	602.0	0.0	1.0	1.0	Female
allyah	0.0	373.0	373.0	0.0	1.0	1.0	Female
allyana	0.0	35.0	35.0	0.0	1.0	1.0	Female
allycia	0.0	177.0	177.0	0.0	1.0	1.0	Female
allyha	0.0	29.0	29.0	0.0	1.0	1.0	Female
allyre	53.0	0.0	53.0	1.0	0.0	1.0	Male
allyriane	0.0	41.0	41.0	0.0	1.0	1.0	Female
allyson	0.0	799.0	799.0	0.0	1.0	1.0	Female
allyssa	0.0	134.0	134.0	0.0	1.0	1.0	Female
allyssia	0.0	129.0	129.0	0.0	1.0	1.0	Female
allysson	0.0	87.0	87.0	0.0	1.0	1.0	Female
alma	0.0	9784.0	9784.0	0.0	1.0	1.0	Female
alma-rose	0.0	20.0	20.0	0.0	1.0	1.0	Female
almah	0.0	38.0	38.0	0.0	1.0	1.0	Female
almahdi	33.0	0.0	33.0	1.0	0.0	1.0	Male
almaide	0.0	55.0	55.0	0.0	1.0	1.0	Female
almami	24.0	0.0	24.0	1.0	0.0	1.0	Male
almamy	270.0	0.0	270.0	1.0	0.0	1.0	Male
almany	26.0	0.0	26.0	1.0	0.0	1.0	Male
almanzo	68.0	0.0	68.0	1.0	0.0	1.0	Male
almas	32.0	241.0	273.0	0.11721611721611722	0.8827838827838828	0.8827838827838828	Female
almass	0.0	32.0	32.0	0.0	1.0	1.0	Female
almasse	0.0	36.0	36.0	0.0	1.0	1.0	Female
almaz	0.0	54.0	54.0	0.0	1.0	1.0	Female
almedin	34.0	0.0	34.0	1.0	0.0	1.0	Male
almedina	0.0	33.0	33.0	0.0	1.0	1.0	Female
almeria	0.0	20.0	20.0	0.0	1.0	1.0	Female
almerinda	0.0	41.0	41.0	0.0	1.0	1.0	Female
almila	0.0	117.0	117.0	0.0	1.0	1.0	Female
almin	37.0	0.0	37.0	1.0	0.0	1.0	Male
almina	0.0	217.0	217.0	0.0	1.0	1.0	Female
almir	206.0	0.0	206.0	1.0	0.0	1.0	Male
almira	0.0	168.0	168.0	0.0	1.0	1.0	Female
almire	303.0	27.0	330.0	0.9181818181818182	0.08181818181818182	0.9181818181818182	Male
